Date/Time,State,Latitude,Longitude,Total precipitation,Total precipitation duration,
2000-01-05 04:30:00,NSW,-28.8600,153.5700,0,0,
2000-01-12 06:35:00,NSW,-30.4300,152.7800,0,0,
2000-01-31 09:30:00,NSW,-29.9800,152.7300,0,0,
2000-01-31 22:00:00,NSW,-33.5700,151.2800,0,0,
2000-02-21 04:00:00,NSW,-31.4500,141.4700,0,0,
2000-03-05 03:00:00,NSW,-33.7200,150.3000,0,0,
2000-03-05 05:30:00,NSW,-31.4200,151.0800,0,0,
2000-03-05 06:45:00,NSW,-33.7500,151.2300,0,0,
2000-03-19 07:30:00,NSW,-33.7600,151.0000,0,0,
2000-04-01 10:30:00,NSW,-30.9300,151.7200,0,0,
2000-07-09 05:15:00,NSW,-27.9600,151.6700,0,0,
2000-11-02 06:25:00,NSW,-31.0300,151.0700,0,0,
2000-11-03 04:15:00,NSW,-34.0600,150.8600,0,0,
2000-11-03 04:55:00,NSW,-34.2100,150.7900,0,0,
2000-11-10 09:30:00,NSW,-35.6300,144.1200,0,0,
2000-11-21 05:00:00,NSW,-31.3100,146.4400,76,0,
2000-11-27 04:10:00,NSW,-30.7700,150.0900,0,0,
2000-11-29 04:36:00,NSW,-32.0000,150.8700,0,0,
2000-11-29 06:00:00,NSW,-30.7300,151.5300,37,0,
2000-11-29 06:20:00,NSW,-36.3200,149.8300,0,0,
2000-11-30 04:20:00,NSW,-33.8100,150.9800,38,0,
2000-12-07 06:25:00,NSW,-28.8789,153.0508,36,0,
2000-12-29 06:35:00,NSW,-31.4200,151.0800,40,0,
2000-12-29 12:00:00,NSW,-30.3000,153.1300,40,0,
2001-01-06 07:35:00,NSW,-32.2100,148.5700,0,0,
2001-01-17 04:45:00,NSW,-31.4200,151.0800,0,0,
2001-01-17 05:30:00,NSW,-29.4200,153.2800,43,0,
2001-01-17 07:16:00,NSW,-28.8800,153.0500,35,0,
2001-01-17 09:25:00,NSW,-29.6800,152.9300,0,0,
2001-01-17 12:00:00,NSW,-34.5600,150.7900,76,0,
2001-01-25 07:14:00,NSW,-33.6200,150.2700,32,0,
2001-01-27 07:00:00,NSW,-33.7500,150.6000,34,0,
2001-01-29 06:00:00,NSW,-29.7400,151.7400,30,0,
2001-01-30 01:50:00,NSW,-33.0800,149.6800,45,0,
2001-02-04 06:00:00,NSW,-34.1700,150.8100,32,0,
2001-02-04 07:00:00,NSW,-36.0500,148.6300,47,0,
2001-02-04 14:00:00,NSW,-35.0200,148.7500,0,0,
2001-02-05 03:00:00,NSW,-33.6600,150.8800,32,0,
2001-02-05 06:00:00,NSW,-32.7200,150.2300,56,0,
2001-02-05 10:00:00,NSW,-31.6800,145.4800,52,0,
2001-02-27 04:50:00,NSW,-35.2400,147.3400,45,0,
2001-03-11 04:50:00,NSW,-30.4500,151.9500,36,0,
2001-03-25 03:00:00,NSW,-31.9500,151.7900,45,0,
2001-03-25 04:30:00,NSW,-31.6300,152.3000,60,0,
2001-03-25 04:45:00,NSW,-31.4700,152.2300,71,0,
2001-03-25 05:00:00,NSW,-30.9300,151.7200,73,0,
2001-04-09 05:21:00,NSW,-33.6200,150.7500,37,0,
2001-04-20 09:30:00,NSW,-33.7200,150.8000,45,0,
2001-04-20 09:30:00,NSW,-33.7600,150.7700,0,0,
2001-04-26 04:20:00,NSW,-28.2900,153.3600,50,0,
2001-05-05 20:00:00,NSW,-33.9400,151.1900,0,0,
2001-09-12 00:40:00,NSW,-35.0900,150.6000,0,0,
2001-09-14 08:30:00,NSW,-35.3500,150.4700,47,0,
2001-10-02 05:00:00,NSW,-34.5400,150.4800,0,0,
2001-11-07 04:00:00,NSW,-29.7700,153.3000,0,0,
2001-11-10 05:00:00,NSW,-36.5300,149.7900,45,0,
2001-11-24 23:00:00,NSW,-29.7800,151.1200,0,0,
2001-11-26 08:45:00,NSW,-28.8300,153.5400,0,0,
2001-11-27 03:10:00,NSW,-30.9300,151.7200,40,0,
2001-11-27 05:05:00,NSW,-29.9300,152.7200,0,0,
2001-12-30 01:45:00,NSW,-30.3700,152.2300,50,0,
2001-12-30 03:00:00,NSW,-28.7600,152.4500,46,0,
2002-01-15 09:00:00,NSW,-34.8800,150.6000,32,0,
2002-01-15 09:30:00,NSW,-34.6500,150.8500,0,0,
2002-01-15 10:00:00,NSW,-34.5800,150.8800,0,0,
2002-01-16 03:42:00,NSW,-28.8100,153.2600,30,0,
2002-01-16 04:10:00,NSW,-28.6700,153.2800,32,0,
2002-01-24 05:45:00,NSW,-32.5000,148.5000,130,0,
2002-01-24 06:00:00,NSW,-32.2300,148.2400,115,0,
2002-02-02 04:00:00,NSW,-29.3200,151.0900,0,0,
2002-02-02 07:00:00,NSW,-28.7800,153.1100,0,0,
2002-02-08 04:10:00,NSW,-33.4300,149.5600,46,0,
2002-02-08 06:00:00,NSW,-32.3700,149.5300,31,0,
2002-02-15 07:45:00,NSW,-35.1200,147.3700,0,0,
2002-02-16 07:19:00,NSW,-33.7500,151.0000,49,0,
2002-02-16 08:30:00,NSW,-35.1700,147.3700,0,0,
2002-02-26 07:00:00,NSW,-36.8900,149.1100,71,0,
2002-02-27 08:02:00,NSW,-33.6000,151.1000,30,0,
2002-03-08 03:00:00,NSW,-30.3500,152.9000,198,0,
2002-03-26 05:40:00,NSW,-28.8500,153.3500,0,0,
2002-03-27 19:30:00,NSW,-33.4300,151.3400,98,0,
2002-03-28 06:30:00,NSW,-31.0000,151.2200,68,0,
2002-03-29 08:30:00,NSW,-33.6000,150.7700,0,0,
2002-03-29 23:00:00,NSW,-31.0600,152.8300,151,0,
2002-04-14 03:04:00,NSW,-33.7500,150.9200,41,0,
2002-04-14 07:05:00,NSW,-33.9000,148.9400,0,0,
2002-04-17 02:37:00,NSW,-33.7400,151.1300,55,0,
2002-10-04 23:00:00,NSW,-37.2600,150.0500,140,0,
2002-11-21 03:30:00,NSW,-30.9300,151.7200,45,0,
2002-11-23 04:10:00,NSW,-32.8700,150.3000,47,0,
2002-11-29 02:30:00,NSW,-32.3700,149.5300,48,0,
2002-12-10 05:55:00,NSW,-28.8600,153.5700,42,0,
2002-12-24 06:05:00,NSW,-30.3500,152.9000,88,0,
2002-12-24 06:40:00,NSW,-28.8100,153.2600,50,0,
2002-12-24 06:42:00,NSW,-28.8100,153.2600,36,0,
2003-02-08 03:00:00,NSW,-33.5800,149.3700,47,0,
2003-02-09 09:20:00,NSW,-35.4500,149.8300,35,0,
2003-02-10 04:51:00,NSW,-33.9200,150.9900,0,0,
2003-02-17 03:30:00,NSW,-31.0600,152.8300,0,0,
2003-02-18 06:00:00,NSW,-33.4300,149.5600,0,0,
2003-02-21 09:00:00,NSW,-32.5900,149.5800,175,0,
2003-02-21 23:00:00,NSW,-30.3800,150.6100,0,0,
2003-02-22 09:20:00,NSW,-31.2300,150.9000,0,0,
2003-02-22 12:00:00,NSW,-31.2300,150.9000,80,0,
2003-02-23 09:30:00,NSW,-29.6800,152.9300,250,0,
2003-03-09 03:50:00,NSW,-32.9200,150.7300,0,0,
2003-03-09 04:30:00,NSW,-33.7500,150.6800,0,0,
2003-03-09 09:00:00,NSW,-31.4700,152.2300,0,0,
2003-03-10 00:00:00,NSW,-33.4300,151.3400,67,0,
2003-03-10 01:06:00,NSW,-33.7500,151.0400,0,0,
2003-03-10 01:07:00,NSW,-33.2700,151.4200,0,0,
2003-03-10 02:20:00,NSW,-33.8000,150.9000,0,0,
2003-03-10 02:24:00,NSW,-33.8700,150.8500,59,0,
2003-03-10 03:05:00,NSW,-30.4400,152.6700,0,0,
2003-03-10 04:09:00,NSW,-33.7400,151.2200,99,0,
2003-03-10 04:30:00,NSW,-33.7400,151.2400,140,0,
2003-03-10 04:54:00,NSW,-33.7500,151.2300,73,0,
2003-03-10 07:00:00,NSW,-31.9500,151.7900,0,0,
2003-03-14 07:19:00,NSW,-35.3200,149.1200,38,0,
2003-03-14 07:35:00,NSW,-35.3300,149.1500,51,0,
2003-03-16 06:00:00,NSW,-29.5000,152.8000,60,0,
2003-03-22 05:30:00,NSW,-30.9800,152.5000,43,0,
2003-03-22 05:30:00,NSW,-31.0800,152.6200,80,0,
2003-03-23 02:49:00,NSW,-33.2800,151.5800,0,0,
2003-03-29 07:30:00,NSW,-35.7700,149.9400,57,0,
2003-03-30 05:00:00,NSW,-30.1300,153.0200,71,0,
2003-03-30 08:15:00,NSW,-28.6800,153.5200,50,0,
2003-04-02 11:00:00,NSW,-30.2500,149.6800,107,0,
2003-04-13 09:00:00,NSW,-32.3700,149.5300,0,0,
2003-04-27 06:38:00,NSW,-33.8500,151.0600,115,0,
2003-05-12 20:00:00,NSW,-33.3300,151.4200,0,0,
2003-05-12 22:25:00,NSW,-34.0500,150.9800,0,0,
2003-05-15 02:30:00,NSW,-31.8900,152.5500,0,0,
2003-07-01 00:00:00,NSW,-34.5490,146.4010,0,0,
2003-08-23 00:00:00,NSW,-32.3700,149.5300,0,0,
2003-10-05 04:40:00,NSW,-33.8150,150.9350,0,0,
2003-10-16 05:00:00,NSW,-28.7490,153.1680,63,0,
2003-10-25 03:00:00,NSW,-31.9990,149.4850,0,0,
2003-10-25 03:00:00,NSW,-33.6990,150.5350,0,0,
2003-10-25 03:10:00,NSW,-31.9990,151.9680,0,0,
2003-10-25 04:00:00,NSW,-33.6990,150.5350,0,0,
2003-10-25 05:30:00,NSW,-33.6240,151.1430,0,0,
2003-10-25 05:30:00,NSW,-33.6070,151.1430,0,0,
2003-11-07 05:45:00,NSW,-33.0320,149.6930,0,0,
2003-11-21 00:30:00,NSW,-34.5490,146.4010,0,0,
2003-11-21 08:15:00,NSW,-32.0490,152.2680,0,0,
2003-12-02 03:00:00,NSW,-30.4240,152.3260,62,0,
2003-12-03 07:30:00,NSW,-33.6970,150.5680,0,0,
2003-12-03 07:40:00,NSW,-33.7900,150.6760,0,0,
2003-12-03 07:50:00,NSW,-33.7450,150.6180,0,0,
2003-12-04 05:05:00,NSW,-33.7320,151.1350,0,0,
2003-12-04 10:40:00,NSW,-35.3040,148.2230,0,0,
2003-12-05 12:00:00,NSW,-29.0980,147.4680,95,0,
2003-12-11 19:45:00,NSW,-33.6970,150.5680,32,0,
2003-12-14 02:25:00,NSW,-28.8320,153.2510,120,0,
2003-12-27 08:45:00,NSW,-29.9320,151.0350,50,0,
2004-01-07 07:00:00,NSW,-29.6490,151.2180,0,0,
2004-01-13 06:05:00,NSW,-33.8980,148.1510,0,0,
2004-01-16 11:00:00,NSW,-30.9820,151.5850,0,0,
2004-01-21 08:55:00,NSW,-35.7150,150.1850,0,0,
2004-01-23 08:30:00,NSW,-33.7730,150.6360,0,0,
2004-01-23 09:15:00,NSW,-33.7490,151.0680,0,0,
2004-01-23 10:15:00,NSW,-33.2490,151.4310,0,0,
2004-01-24 03:30:00,NSW,-32.1320,150.3510,0,0,
2004-01-24 04:40:00,NSW,-33.8150,150.7680,0,0,
2004-01-24 05:51:00,NSW,-28.6980,153.3680,0,0,
2004-01-24 06:08:00,NSW,-28.6320,153.4010,0,0,
2004-01-24 06:41:00,NSW,-32.9320,151.7850,0,0,
2004-01-24 06:50:00,NSW,-33.0100,151.7230,0,0,
2004-01-24 07:00:00,NSW,-28.5320,153.5510,0,0,
2004-01-24 07:00:00,NSW,-29.7820,151.1180,0,0,
2004-01-25 01:45:00,NSW,-31.2650,150.7350,102,0,
2004-01-25 02:45:00,NSW,-31.2650,150.7350,0,0,
2004-01-25 05:00:00,NSW,-31.5650,149.9850,0,0,
2004-01-26 11:30:00,NSW,-31.9990,151.9680,0,0,
2004-01-27 07:20:00,NSW,-32.5650,151.1680,0,0,
2004-01-28 02:30:00,NSW,-30.2650,153.1350,0,0,
2004-02-02 03:10:00,NSW,-33.5490,150.7010,0,0,
2004-02-15 04:00:00,NSW,-34.1320,149.0180,0,0,
2004-02-15 07:00:00,NSW,-32.2650,150.5010,0,0,
2004-02-23 06:30:00,NSW,-28.5080,152.9770,0,0,
2004-03-12 07:20:00,NSW,-30.9320,148.3680,25,0,
2004-03-18 03:20:00,NSW,-31.0820,152.8350,0,0,
2004-03-18 05:26:00,NSW,-28.8150,153.2850,0,0,
2004-03-18 07:15:00,NSW,-28.3300,153.3830,0,0,
2004-03-21 04:30:00,NSW,-33.2010,148.6240,0,0,
2004-03-21 06:50:00,NSW,-32.2490,148.6010,0,0,
2004-03-21 07:00:00,NSW,-33.3820,148.0010,0,0,
2004-04-04 04:21:00,NSW,-34.2500,150.5300,0,0,
2004-09-19 10:30:00,NSW,-32.7800,151.7300,0,0,
2004-09-29 05:30:00,NSW,-32.9200,151.8000,0,0,
2004-10-14 07:45:00,NSW,-28.1800,153.5300,0,0,
2004-10-20 14:30:00,NSW,-30.1200,153.1200,101,0,
2004-10-24 08:40:00,NSW,-31.4400,152.9200,0,0,
2004-10-24 12:00:00,NSW,-31.4400,152.9200,0,0,
2004-11-02 03:25:00,NSW,-35.3200,149.1200,0,0,
2004-11-08 02:40:00,NSW,-37.2600,145.6200,0,0,
2004-11-08 06:50:00,NSW,-28.2900,153.3600,0,0,
2004-11-09 05:30:00,NSW,-28.8100,153.2600,0,0,
2004-11-11 06:30:00,NSW,-32.2100,148.5700,0,0,
2004-12-08 08:00:00,NSW,-33.1600,148.5900,0,0,
2004-12-12 06:00:00,NSW,-24.4800,153.2400,0,0,
2004-12-12 08:25:00,NSW,-31.2100,152.1300,0,0,
2004-12-13 05:00:00,NSW,-28.8100,153.2600,0,0,
2004-12-13 05:00:00,NSW,-32.9100,151.4800,0,0,
2004-12-19 05:00:00,NSW,-32.0500,150.8500,0,0,
2004-12-19 05:10:00,NSW,-35.5600,151.3600,0,0,
2004-12-23 06:50:00,NSW,-35.8300,149.6300,0,0,
2004-12-24 03:00:00,NSW,-29.6400,151.2100,0,0,
2004-12-27 02:00:00,NSW,-29.6700,151.1500,0,0,
2004-12-27 02:30:00,NSW,-29.5000,151.3000,0,0,
2004-12-27 03:15:00,NSW,-29.6700,151.1500,0,0,
2004-12-27 06:40:00,NSW,-29.0600,153.2600,0,0,
2005-01-04 07:05:00,NSW,-33.0300,149.6900,0,0,
2005-01-15 07:40:00,NSW,-35.7200,150.1800,0,0,
2005-01-20 01:00:00,NSW,-35.4600,149.1000,0,0,
2005-01-20 05:35:00,NSW,-34.5600,150.8300,0,0,
2005-01-20 05:56:00,NSW,-32.8700,150.3000,0,0,
2005-01-20 06:35:00,NSW,-32.7800,151.7300,0,0,
2005-01-20 06:37:00,NSW,-34.5600,150.8300,0,0,
2005-01-20 12:40:00,NSW,-33.7100,151.1100,0,0,
2005-02-02 04:41:00,NSW,-34.1700,150.3500,0,0,
2005-02-02 05:00:00,NSW,-33.4500,151.0000,0,0,
2005-02-02 06:00:00,NSW,-33.7100,151.1200,0,0,
2005-02-19 03:10:00,NSW,-34.5900,150.5900,0,0,
2005-02-19 04:38:00,NSW,-33.4200,150.8200,0,0,
2005-02-19 05:10:00,NSW,-33.7700,150.9800,0,0,
2005-02-20 04:30:00,NSW,-33.7000,150.6000,0,0,
2005-02-20 05:20:00,NSW,-33.7000,150.6000,0,0,
2005-02-20 05:30:00,NSW,-32.9100,151.3300,0,0,
2005-02-20 07:20:00,NSW,-32.8700,150.3000,0,0,
2005-02-24 06:06:00,NSW,-30.5200,151.6700,0,0,
2005-03-03 09:00:00,NSW,-32.5900,149.5800,0,0,
2005-03-03 12:55:00,NSW,-32.0500,150.8500,0,0,
2005-03-05 03:30:00,NSW,-31.4300,152.9200,0,0,
2005-03-17 06:30:00,NSW,-30.2110,152.8991,0,0,
2005-05-01 10:30:00,NSW,-33.9100,151.2400,0,0,
2005-06-29 10:00:00,NSW,-28.7990,153.3850,49,0,
2005-06-29 18:00:00,NSW,-28.1790,153.5380,0,0,
2005-06-29 22:50:00,NSW,-28.7990,153.3850,58,0,
2005-09-10 06:00:00,NSW,-35.6650,147.0350,0,0,
2005-09-28 06:30:00,NSW,-36.0320,146.9350,63,0,
2005-10-13 07:15:00,NSW,-35.2500,147.3400,0,0,
2005-10-23 09:00:00,NSW,-31.3300,152.8000,0,0,
2005-10-23 09:25:00,NSW,-31.3300,152.8000,0,0,
2005-10-24 04:58:00,NSW,-31.9500,151.7900,0,0,
2005-10-31 01:05:00,NSW,-30.3500,152.9000,0,0,
2005-10-31 02:10:00,NSW,-37.2600,145.6200,0,0,
2005-10-31 03:35:00,NSW,-33.6300,150.2800,0,0,
2005-10-31 06:00:00,NSW,-33.7100,150.5800,0,0,
2005-10-31 06:00:00,NSW,-33.7090,150.5848,0,0,
2005-10-31 06:01:00,NSW,-33.7100,150.5800,0,0,
2005-10-31 06:10:00,NSW,-33.7000,150.5400,0,0,
2005-10-31 06:15:00,NSW,-33.6800,150.6200,0,0,
2005-10-31 06:30:00,NSW,-33.5800,150.6300,0,0,
2005-10-31 06:30:00,NSW,-33.6968,150.5685,0,0,
2005-10-31 06:40:00,NSW,-33.6800,150.6200,0,0,
2005-11-06 08:30:00,NSW,-31.8700,141.2300,0,0,
2005-11-07 10:00:00,NSW,-35.1100,147.3600,0,0,
2005-11-07 13:00:00,NSW,-33.4300,149.5600,0,0,
2005-11-08 06:15:00,NSW,-32.2100,148.5700,0,0,
2005-11-10 03:30:00,NSW,-29.5400,148.5800,0,0,
2005-11-10 04:00:00,NSW,-30.5200,151.6700,0,0,
2005-11-22 07:15:00,NSW,-33.3300,148.9800,0,0,
2005-11-22 09:30:00,NSW,-33.7500,150.6800,0,0,
2005-11-23 03:30:00,NSW,-28.2900,153.3600,0,0,
2005-11-23 06:40:00,NSW,-33.1400,148.1500,0,0,
2005-11-24 04:45:00,NSW,-33.4985,148.3012,0,0,
2005-11-26 05:30:00,NSW,-35.3200,149.1200,0,0,
2005-11-26 05:35:00,NSW,-35.2300,149.1000,0,0,
2005-11-26 10:30:00,NSW,-33.5700,150.1200,0,0,
2005-11-27 00:30:00,NSW,-30.9300,151.7200,0,0,
2005-11-27 04:20:00,NSW,-31.9500,151.7900,0,0,
2005-11-29 07:00:00,NSW,-28.7300,153.4100,0,0,
2005-11-29 08:20:00,NSW,-34.0300,150.6500,0,0,
2005-11-30 05:30:00,NSW,-30.6700,152.7700,0,0,
2005-11-30 05:30:00,NSW,-30.6600,152.8400,0,0,
2005-11-30 05:43:00,NSW,-30.6700,152.7700,0,0,
2005-11-30 05:43:00,NSW,-30.6600,152.8400,0,0,
2005-11-30 06:50:00,NSW,-32.7818,151.7346,0,0,
2005-11-30 06:50:00,NSW,-30.9300,151.7200,0,0,
2005-11-30 11:00:00,NSW,-30.2600,153.1346,0,0,
2005-12-01 04:00:00,NSW,-32.7263,151.6318,0,0,
2005-12-01 05:04:00,NSW,-33.5200,151.3200,0,0,
2005-12-01 05:30:00,NSW,-29.5000,151.3000,0,0,
2005-12-01 06:30:00,NSW,-29.6800,152.9300,0,0,
2005-12-01 08:30:00,NSW,-28.7600,152.4500,0,0,
2005-12-02 02:15:00,NSW,-36.0600,146.9000,0,0,
2005-12-02 03:45:00,NSW,-36.0700,146.9000,0,0,
2005-12-08 04:40:00,NSW,-28.9400,153.4600,0,0,
2005-12-08 06:48:00,NSW,-28.2900,153.3600,0,0,
2005-12-17 05:00:00,NSW,-28.7600,153.2500,0,0,
2006-01-06 05:05:00,NSW,-30.9300,151.7200,35,0,
2006-01-07 01:00:00,NSW,-28.6400,153.4100,505,0,
2006-01-12 05:15:00,NSW,-30.9900,151.5900,54,0,
2006-01-15 05:20:00,NSW,-33.3900,148.0100,53,0,
2006-01-15 21:54:00,NSW,-34.7500,149.7300,85,0,
2006-01-16 06:00:00,NSW,-35.2800,149.1200,0,0,
2006-01-16 06:00:00,NSW,-33.6968,150.5685,0,0,
2006-01-18 13:00:00,NSW,-28.5207,153.5401,0,0,
2006-02-11 21:30:00,NSW,-28.5200,153.5400,50,0,
2006-02-12 05:03:00,NSW,-30.3200,153.1200,0,0,
2006-02-12 05:30:00,NSW,-30.3200,153.1200,0,0,
2006-02-13 05:00:00,NSW,-29.4900,153.2400,92,0,
2006-02-15 09:50:00,NSW,-35.2300,149.0100,0,0,
2006-02-16 07:00:00,NSW,-33.4200,149.5900,68,0,
2006-02-20 07:00:00,NSW,-29.5000,151.3000,0,0,
2006-02-26 08:00:00,NSW,-33.7500,150.6800,0,0,
2006-02-26 09:30:00,NSW,-33.8400,150.8500,0,0,
2006-02-26 10:00:00,NSW,-33.6400,151.3300,0,0,
2006-02-26 10:30:00,NSW,-33.6900,151.1096,0,0,
2006-02-26 11:00:00,NSW,-33.7400,151.1300,0,0,
2006-02-26 11:20:00,NSW,-33.7400,151.1300,0,0,
2006-03-01 00:30:00,NSW,-33.2800,151.5700,0,0,
2006-03-01 01:00:00,NSW,-33.4300,151.3400,92,0,
2006-04-04 07:10:00,NSW,-28.6500,153.6200,0,0,
2006-06-05 07:30:00,NSW,-32.7820,152.0850,0,0,
