Date/Time,Latitude,Longitude,Nearest town,State,Max speed (km/h),Fujita scale,Damage total,
2010-02-16 06:00:00,-17.3600,145.5900,Malanda,QLD,63,0,,
2010-02-04 05:45:00,-30.5151,151.6650,ARMIDALE,NSW,63,0,,
2010-06-02 21:30:00,-28.7984,153.5845,LENNOX HEAD,NSW,119,1,,
2010-02-27 05:15:00,-36.3632,144.6995,ROCHESTER,VIC,63,0,,
2010-09-13 05:48:00,-36.3560,141.3433,MIRAM,VIC,63,0,,
2010-08-10 06:30:00,-36.0985,144.7513,MOAMA,NSW,63,0,,
2010-05-22 12:00:00,-33.0778,115.8944,HARVEY,WA,63,0,,
2010-05-26 22:00:00,-32.2814,115.7269,ROCKINGHAM,WA,63,0,,
2010-07-08 22:00:00,-32.0486,115.9208,PARKWOOD,WA,63,0,,
2010-07-09 14:00:00,-32.5294,115.7233,MANDURAH,WA,63,0,,
2011-02-28 08:15:00,-31.9652,141.4513,BROKEN HILL,NSW,63,0,,
2010-12-08 02:05:00,-31.9652,141.4513,BROKEN HILL,NSW,63,0,,
2010-11-23 07:30:00,-20.7307,143.1426,Richmond,QLD,63,0,,
2010-12-01 02:38:00,-31.4985,145.8346,COBAR,NSW,63,0,,
2010-12-25 01:00:00,-21.3000,149.2000,Alligator Creek,QLD,119,1,,
2011-01-19 07:20:00,-29.6484,152.8011,RAMORNIE,NSW,63,0,,
2010-08-10 00:00:00,-36.1298,144.7508,ECHUCA,VIC,63,0,,
2011-02-03 07:20:00,-36.9015,143.9795,EASTVILLE,VIC,63,0,,
2011-02-04 05:00:00,-37.8436,144.9740,MELBOURNE,VIC,63,0,,
2010-10-06 04:30:00,-36.7924,143.5519,BEALIBA,VIC,63,0,,
2010-11-07 05:05:00,-37.4248,144.5612,MACEDON,VIC,63,0,,
2011-02-04 06:22:00,-36.3613,144.6985,ROCHESTER,VIC,63,0,,
2011-02-28 08:36:00,-31.9652,141.4513,BROKEN HILL,NSW,63,0,,
2011-05-23 09:30:00,-25.5200,152.6800,Maryborough,QLD,63,0,,
2010-10-02 06:00:00,-35.3317,148.8012,BRINDABELLA RANGE,NSW,63,0,,
2010-09-04 07:00:00,-37.2160,145.1053,Broadford,VIC,63,0,,
2011-02-11 08:30:00,-12.9000,132.5167,COOINDA,NT,63,0,,
2011-01-12 01:20:00,-12.9000,131.1900,Lake Bennett,NT,63,0,,
2011-10-29 23:13:00,-30.6317,150.6678,UPPER MANILLA,NSW,63,0,,
2011-11-08 01:20:00,-36.9151,149.2346,BOMBALA,NSW,63,0,,
2011-10-01 13:45:00,-37.0561,146.0867,MANSFIELD,VIC,63,0,,
2011-10-28 07:00:00,-37.6604,145.3731,YARRA GLEN,VIC,63,0,,
2011-12-25 06:05:00,-37.6572,144.2306,FISKVILLE,VIC,63,0,,
2011-12-25 06:50:00,-37.6471,145.0288,EPPING,VIC,63,0,,
2012-01-11 00:12:00,-37.8446,145.2668,BAYSWATER,VIC,63,0,,
2011-12-25 06:40:00,-37.6664,144.8458,MELBOURNE AIRPORT,VIC,63,0,,
2012-02-27 04:40:00,-34.1942,142.1559,MILDURA,VIC,63,0,,
